,Instrument,Date,Earnings Per Share - Mean,Earnings Per Share Reported - Mean,Earnings Per Share - Predicted Surprise PCT
0,MRK,2005-01-31T00:00:00Z,2.46963,2.45333,
1,MRK,2005-02-22T00:00:00Z,2.47259,2.45333,
2,MRK,2005-03-29T00:00:00Z,2.47185,2.45333,
3,MRK,2005-04-29T00:00:00Z,2.49333,2.475,
4,MRK,2005-05-17T00:00:00Z,2.49423,2.475,
5,MRK,2005-06-23T00:00:00Z,2.49625,2.4775,
6,MRK,2005-07-28T00:00:00Z,2.48909,2.38667,
7,MRK,2005-08-12T00:00:00Z,2.49044,2.38667,
8,MRK,2005-09-28T00:00:00Z,2.4892,2.38667,
9,MRK,2005-10-25T00:00:00Z,2.50333,2.36,
10,MRK,2005-11-29T00:00:00Z,2.50417,2.36,
11,MRK,2005-12-28T00:00:00Z,2.50783,2.2275,
12,MRK,2006-01-31T00:00:00Z,2.32864,2.13,
13,MRK,2006-02-14T00:00:00Z,2.33167,2.13,
14,MRK,2006-03-20T00:00:00Z,2.33375,2.13,
15,MRK,2006-04-28T00:00:00Z,2.38708,2.07333,
16,MRK,2006-05-25T00:00:00Z,2.39261,2.06667,
17,MRK,2006-06-29T00:00:00Z,2.39348,2.08,
18,MRK,2006-07-25T00:00:00Z,2.45496,2.13333,
19,MRK,2006-08-30T00:00:00Z,2.47235,2.18,
20,MRK,2006-09-20T00:00:00Z,2.47382,2.19,
21,MRK,2006-10-30T00:00:00Z,2.50429,2.20333,
22,MRK,2006-11-28T00:00:00Z,2.51048,2.20333,
23,MRK,2006-12-22T00:00:00Z,2.51737,2.25667,
24,MRK,2007-01-31T00:00:00Z,2.61963,2.46333,
25,MRK,2007-02-28T00:00:00Z,2.63933,2.49667,
26,MRK,2007-03-29T00:00:00Z,2.657,2.5325,
27,MRK,2007-04-26T00:00:00Z,2.9053,2.785,
28,MRK,2007-05-24T00:00:00Z,2.91722,2.805,
29,MRK,2007-06-27T00:00:00Z,2.923,2.805,
30,MRK,2007-07-31T00:00:00Z,3.08718,2.94,
31,MRK,2007-08-20T00:00:00Z,3.11082,2.94,
32,MRK,2007-09-26T00:00:00Z,3.08082,2.98333,
33,MRK,2007-10-31T00:00:00Z,3.12991,2.954,
34,MRK,2007-11-25T00:00:00Z,3.14557,2.58667,
35,MRK,2007-12-11T00:00:00Z,3.14557,2.23286,
36,MRK,2008-01-31T00:00:00Z,3.36291,3.63143,
37,MRK,2008-02-28T00:00:00Z,3.34391,3.63143,
38,MRK,2008-03-31T00:00:00Z,3.30832,3.53,
39,MRK,2008-04-30T00:00:00Z,3.30518,3.7175,
40,MRK,2008-05-30T00:00:00Z,3.3055,3.62,
41,MRK,2008-06-26T00:00:00Z,3.3092,3.62333,
42,MRK,2008-07-22T00:00:00Z,3.29213,3.64,
43,MRK,2008-08-28T00:00:00Z,3.29373,3.82,
44,MRK,2008-09-30T00:00:00Z,3.28573,3.815,
45,MRK,2008-10-31T00:00:00Z,3.29429,3.69,
46,MRK,2008-11-26T00:00:00Z,3.29375,3.69,
47,MRK,2008-12-11T00:00:00Z,3.29467,3.65667,
48,MRK,2009-01-26T00:00:00Z,3.29588,3.645,
49,MRK,2009-02-27T00:00:00Z,3.27714,3.22,
50,MRK,2009-03-11T00:00:00Z,3.248,3.12667,
51,MRK,2009-04-28T00:00:00Z,3.22214,3.04333,
52,MRK,2009-04-28T00:00:00Z,3.22214,3.04333,
53,MRK,2009-06-29T00:00:00Z,3.22313,3.04333,
54,MRK,2009-07-31T00:00:00Z,3.23813,3.09667,
55,MRK,2009-08-17T00:00:00Z,3.23471,3.075,
56,MRK,2009-09-04T00:00:00Z,3.23438,2.85,
57,MRK,2009-10-26T00:00:00Z,3.25308,3.76,
58,MRK,2009-11-13T00:00:00Z,3.275,3.83,
59,MRK,2009-12-31T00:00:00Z,3.26714,3.835,
60,MRK,2010-01-26T00:00:00Z,3.26625,3.85,
61,MRK,2010-02-25T00:00:00Z,3.43,3.14333,
62,MRK,2010-03-26T00:00:00Z,3.414,3.17714,
63,MRK,2010-04-30T00:00:00Z,3.4025,3.18429,
64,MRK,2010-05-21T00:00:00Z,3.38684,2.5,
65,MRK,2010-06-28T00:00:00Z,3.3865,2.51,
66,MRK,2010-07-30T00:00:00Z,3.36191,2.482,
67,MRK,2010-08-30T00:00:00Z,3.36095,2.356,
68,MRK,2010-09-22T00:00:00Z,3.36048,2.356,
69,MRK,2010-10-31T00:00:00Z,3.36714,2.302,
70,MRK,2010-11-29T00:00:00Z,3.37048,2.202,
71,MRK,2010-11-29T00:00:00Z,3.37048,2.202,
72,MRK,2011-01-25T00:00:00Z,3.37524,2.204,
73,MRK,2011-02-22T00:00:00Z,3.68571,3.115,
74,MRK,2011-03-24T00:00:00Z,3.68933,2.938,
75,MRK,2011-04-29T00:00:00Z,3.70619,2.93,
76,MRK,2011-05-24T00:00:00Z,3.73046,3.042,
77,MRK,2011-06-30T00:00:00Z,3.73261,2.82,
